name,price
Box of Chocolate Candy,24.99
Dark Red Energy Potion,4.99
Teal Energy Potion,4.99
Red Energy Potion,4.99
Blue Energy Potion,4.99
Dragon Energy Potion,4.99
Hiking Boots for Outdoor Adventures,89.99
Women's High Heel Sandals,59.99
Running Shoes for Men,49.99
Kids' Light-Up Sneakers,29.99
Classic Leather Sneakers,79.99
Cat-Ear Beanie,14.99
Box of Chocolate Candy,24.99
Dark Red Energy Potion,4.99
Teal Energy Potion,4.99
Red Energy Potion,4.99
Blue Energy Potion,4.99
Dragon Energy Potion,4.99
Hiking Boots for Outdoor Adventures,89.99
Women's High Heel Sandals,59.99
Running Shoes for Men,49.99
Kids' Light-Up Sneakers,29.99
Classic Leather Sneakers,79.99
Cat-Ear Beanie,14.99
Box of Chocolate Candy,24.99
